name,datetime,temp,humidity,precip,windspeed,description
Nagar Kurnool,21-10-2020,24.9,86.1,2.4,8.6,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,22-10-2020,25.7,84.6,2.2,11.5,Partly cloudy throughout the day with rain clearing later.
Nagar Kurnool,23-10-2020,25.8,79.5,0,10.1,Partly cloudy throughout the day.
Nagar Kurnool,24-10-2020,26.1,76.5,0,11.5,Partly cloudy throughout the day.
Nagar Kurnool,25-10-2020,26,80.7,0,7.9,Partly cloudy throughout the day.
Nagar Kurnool,26-10-2020,24.9,83.9,0,12.6,Partly cloudy throughout the day.
Nagar Kurnool,27-10-2020,23.9,83.4,0,14.4,Partly cloudy throughout the day.
Nagar Kurnool,28-10-2020,23.4,80,0,14,Partly cloudy throughout the day.
Nagar Kurnool,29-10-2020,23.8,80.6,0,13,Partly cloudy throughout the day.
Nagar Kurnool,30-10-2020,24.4,79.4,0,10.4,Partly cloudy throughout the day.
Nagar Kurnool,31-10-2020,24.3,82.6,0,11.2,Partly cloudy throughout the day.
Nagar Kurnool,01-11-2020,23.7,77.4,0,12.6,Becoming cloudy in the afternoon.
Nagar Kurnool,02-11-2020,24.5,83.1,0,11.2,Partly cloudy throughout the day.
Nagar Kurnool,03-11-2020,24.8,84.6,0,14.8,Partly cloudy throughout the day.
Nagar Kurnool,04-11-2020,23.2,80,0,17.6,Becoming cloudy in the afternoon.
Nagar Kurnool,05-11-2020,22.5,74.4,0,14,Partly cloudy throughout the day.
Nagar Kurnool,06-11-2020,22.6,81.8,0.1,16.2,Becoming cloudy in the afternoon with late afternoon rain.
Nagar Kurnool,07-11-2020,24.7,87,0.7,16.9,Partly cloudy throughout the day with rain clearing later.
Nagar Kurnool,08-11-2020,24,86.3,0,16.2,Clear conditions throughout the day.
Nagar Kurnool,09-11-2020,21.4,76.9,0,14,Partly cloudy throughout the day.
Nagar Kurnool,10-11-2020,19.6,78.1,0,14,Partly cloudy throughout the day.
Nagar Kurnool,11-11-2020,21.5,83.7,0.5,16.6,Partly cloudy throughout the day with late afternoon rain.
Nagar Kurnool,12-11-2020,24.4,89.2,2.4,22.7,Clearing in the afternoon with a chance of rain throughout the day.
Nagar Kurnool,13-11-2020,24.5,87.6,0,20.9,Partly cloudy throughout the day.
Nagar Kurnool,14-11-2020,23.7,84.6,0,17.6,Partly cloudy throughout the day.
Nagar Kurnool,15-11-2020,23.9,86.7,0.1,20.9,Partly cloudy throughout the day with late afternoon rain.
Nagar Kurnool,16-11-2020,24.7,89,0.5,25.2,Partly cloudy throughout the day with afternoon rain.
Nagar Kurnool,17-11-2020,24.5,86.4,0,21.2,Partly cloudy throughout the day.
Nagar Kurnool,18-11-2020,23.8,85.8,0,15.5,Partly cloudy throughout the day.
Nagar Kurnool,19-11-2020,23.8,83.6,0,16.6,Cloudy skies throughout the day.
Nagar Kurnool,20-11-2020,23.8,82.4,0,14,Clearing in the afternoon.
Nagar Kurnool,21-11-2020,23.8,78.7,0,9.7,Partly cloudy throughout the day.
Nagar Kurnool,22-11-2020,24,83.1,0,7.6,Cloudy skies throughout the day.
Nagar Kurnool,23-11-2020,23.7,83.5,0,15.1,Cloudy skies throughout the day.
Nagar Kurnool,24-11-2020,23.7,83.5,0,20.9,Partly cloudy throughout the day.
Nagar Kurnool,25-11-2020,22.9,85.2,1.5,26.3,Partly cloudy throughout the day with rain.
Nagar Kurnool,26-11-2020,21.3,90.7,13.2,29.9,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,27-11-2020,21.2,86.4,6.2,33.5,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,28-11-2020,23.3,87.3,7.4,24.5,Partly cloudy throughout the day with a chance of rain throughout the day.
Nagar Kurnool,29-11-2020,23.4,87,0,20.2,Partly cloudy throughout the day.
Nagar Kurnool,30-11-2020,23,82.7,0,14.8,Partly cloudy throughout the day.
Nagar Kurnool,01-12-2020,21.6,81.2,0,13,Partly cloudy throughout the day.
Nagar Kurnool,02-12-2020,21.2,82.3,0,14.4,Partly cloudy throughout the day.
Nagar Kurnool,03-12-2020,21.8,83.8,0,16.9,Partly cloudy throughout the day.
Nagar Kurnool,04-12-2020,22.8,84.4,0,18.7,Partly cloudy throughout the day.
Nagar Kurnool,05-12-2020,22.6,82.6,0,21.6,Partly cloudy throughout the day.
Nagar Kurnool,06-12-2020,22.3,81.3,0,22.7,Partly cloudy throughout the day.
Nagar Kurnool,07-12-2020,22.1,78.5,0,21.6,Clearing in the afternoon.
Nagar Kurnool,08-12-2020,22.3,79.3,0.6,20.5,Partly cloudy throughout the day with rain.
Nagar Kurnool,09-12-2020,22,76.6,0,14.4,Clearing in the afternoon.
Nagar Kurnool,10-12-2020,21.4,77.2,0,11.2,Clear conditions throughout the day.
Nagar Kurnool,11-12-2020,21,74.7,0,11.5,Clear conditions throughout the day.
Nagar Kurnool,12-12-2020,20.6,77.1,0,13.7,Partly cloudy throughout the day.
Nagar Kurnool,13-12-2020,20.9,76.1,0,11.2,Partly cloudy throughout the day.
Nagar Kurnool,14-12-2020,21.1,75.9,0,13.3,Clearing in the afternoon.
Nagar Kurnool,15-12-2020,21.2,75.6,0,16.9,Partly cloudy throughout the day.
Nagar Kurnool,16-12-2020,23,78.3,0,20.9,Partly cloudy throughout the day.
Nagar Kurnool,17-12-2020,22.7,77.2,0,16.2,Partly cloudy throughout the day.
Nagar Kurnool,18-12-2020,22.8,78.7,0,15.8,Partly cloudy throughout the day.
Nagar Kurnool,19-12-2020,21.6,75.7,0,18,Partly cloudy throughout the day.
Nagar Kurnool,20-12-2020,20.9,74.4,0,16.9,Partly cloudy throughout the day.
Nagar Kurnool,21-12-2020,19.4,68.5,0,13.3,Partly cloudy throughout the day.
Nagar Kurnool,22-12-2020,18.8,68.3,0,11.5,Clearing in the afternoon.
Nagar Kurnool,23-12-2020,19.2,70.3,0,13.3,Partly cloudy throughout the day.
Nagar Kurnool,24-12-2020,20.3,72.8,0,14,Clear conditions throughout the day.
Nagar Kurnool,25-12-2020,20.7,74.3,0,15.5,Partly cloudy throughout the day.
Nagar Kurnool,26-12-2020,20.6,76.3,0,14,Partly cloudy throughout the day.
Nagar Kurnool,27-12-2020,20.6,74.7,0,11.2,Partly cloudy throughout the day.
Nagar Kurnool,28-12-2020,20.5,72.9,0,11.2,Becoming cloudy in the afternoon.
Nagar Kurnool,29-12-2020,21.1,70.1,0,14,Clear conditions throughout the day.
Nagar Kurnool,30-12-2020,22,72.1,0,18.4,Clear conditions throughout the day.
Nagar Kurnool,31-12-2020,22.3,75.9,0,19.8,Partly cloudy throughout the day.
Nagar Kurnool,01-01-2021,22.1,78.1,0,18.7,Partly cloudy throughout the day.
Nagar Kurnool,02-01-2021,20.8,74.1,0,17.3,Partly cloudy throughout the day.
Nagar Kurnool,03-01-2021,21.1,75.3,0,15.5,Partly cloudy throughout the day.
Nagar Kurnool,04-01-2021,21.8,73.1,0,14.8,Partly cloudy throughout the day.
Nagar Kurnool,05-01-2021,23.3,77.6,0,16.6,Partly cloudy throughout the day.
Nagar Kurnool,06-01-2021,24,84.5,3.8,16.6,Partly cloudy throughout the day with rain.
Nagar Kurnool,07-01-2021,24.5,77.5,0.7,16.9,Partly cloudy throughout the day with early morning rain.
Nagar Kurnool,08-01-2021,24.5,75.5,0,16.9,Partly cloudy throughout the day.
Nagar Kurnool,09-01-2021,24.3,72.2,0,16.9,Partly cloudy throughout the day.
Nagar Kurnool,10-01-2021,24.4,70.8,0,18.7,Partly cloudy throughout the day.
Nagar Kurnool,11-01-2021,24.4,68.6,0,19.4,Partly cloudy throughout the day.
Nagar Kurnool,12-01-2021,25.3,66.9,0,22.3,Partly cloudy throughout the day.
Nagar Kurnool,13-01-2021,24.8,69,0,17.6,Partly cloudy throughout the day.
Nagar Kurnool,14-01-2021,24.5,68.4,0,14.8,Becoming cloudy in the afternoon.
Nagar Kurnool,15-01-2021,24.4,67.9,0,14,Partly cloudy throughout the day.
Nagar Kurnool,16-01-2021,24.5,68,0,15.5,Cloudy skies throughout the day.
Nagar Kurnool,17-01-2021,24.5,66,0,20.2,Clear conditions throughout the day.
Nagar Kurnool,18-01-2021,24,68,0,17.3,Clear conditions throughout the day.
Nagar Kurnool,19-01-2021,24.2,67.9,0,14,Clear conditions throughout the day.
Nagar Kurnool,20-01-2021,24.4,61.4,0,10.8,Clear conditions throughout the day.
Nagar Kurnool,21-01-2021,24.8,57.7,0,10.8,Partly cloudy throughout the day.
Nagar Kurnool,22-01-2021,25,60.4,0,15.1,Clearing in the afternoon.
Nagar Kurnool,23-01-2021,24.9,61.8,0,14,Clear conditions throughout the day.
Nagar Kurnool,24-01-2021,24.8,59.8,0,13.7,Partly cloudy throughout the day.
Nagar Kurnool,25-01-2021,24.6,54.3,0,15.5,Becoming cloudy in the afternoon.
Nagar Kurnool,26-01-2021,24.7,54.5,0,16.6,Clearing in the afternoon.
Nagar Kurnool,27-01-2021,24.5,54.2,0,19.1,Partly cloudy throughout the day.
Nagar Kurnool,28-01-2021,24.6,62.1,0,20.5,Clear conditions throughout the day.
Nagar Kurnool,29-01-2021,25.4,59.5,0,18,Partly cloudy throughout the day.
Nagar Kurnool,30-01-2021,25.8,55.5,0,16.9,Partly cloudy throughout the day.
Nagar Kurnool,31-01-2021,25.6,55.9,0,19.4,Partly cloudy throughout the day.
Nagar Kurnool,01-02-2021,25,60.5,0,19.8,Partly cloudy throughout the day.
Nagar Kurnool,02-02-2021,24.7,57.2,0,16.9,Clear conditions throughout the day.
Nagar Kurnool,03-02-2021,24.3,55.6,0,18.4,Clear conditions throughout the day.
Nagar Kurnool,04-02-2021,24,52.2,0,20.5,Partly cloudy throughout the day.
Nagar Kurnool,05-02-2021,24,49.8,0,19.4,Partly cloudy throughout the day.
Nagar Kurnool,06-02-2021,24.1,52.6,0,19.1,Partly cloudy throughout the day.
Nagar Kurnool,07-02-2021,23.5,50,0,22,Partly cloudy throughout the day.
Nagar Kurnool,08-02-2021,22.9,38.4,0,18.4,Partly cloudy throughout the day.
Nagar Kurnool,09-02-2021,23.9,54.7,0,14.8,Clearing in the afternoon.
Nagar Kurnool,10-02-2021,24.2,51,0,16.6,Partly cloudy throughout the day.
Nagar Kurnool,11-02-2021,24.2,54.3,0,20.9,Partly cloudy throughout the day.
Nagar Kurnool,12-02-2021,24.7,53,0,20.9,Cloudy skies throughout the day.
Nagar Kurnool,13-02-2021,24.5,49.8,0,19.1,Partly cloudy throughout the day.
Nagar Kurnool,14-02-2021,24.7,47.4,0,18,Partly cloudy throughout the day.
Nagar Kurnool,15-02-2021,25.3,45.1,0,17.6,Partly cloudy throughout the day.
Nagar Kurnool,16-02-2021,25.8,43,0,23,Clear conditions throughout the day.
Nagar Kurnool,17-02-2021,25.5,45.5,0,24.1,Clear conditions throughout the day.
Nagar Kurnool,18-02-2021,25.4,56.2,0,21.6,Partly cloudy throughout the day.
Nagar Kurnool,19-02-2021,24,60.6,1.3,22,Partly cloudy throughout the day with rain.
Nagar Kurnool,20-02-2021,24.1,58.9,1.5,26.3,Partly cloudy throughout the day with rain.
Nagar Kurnool,21-02-2021,24.3,65.2,0.5,20.2,Partly cloudy throughout the day with rain.
